Comment,Designator,Footprint,LCSC Part #
"100n","C1","C0603","C14663"
"B5819W","D1","SOD-123","C8598"
"PSM712-LF","D2","SOT-23","C32677"
"Fuse-Pad-Pad","F12","PAD-1206-PAD","C182446"
"Fuse-Pad-Pad","F32","PAD-1206-PAD","C182446"
"PROTO_AREA","G8","PROTO_AREA",""
"PROTO_AREA","G9","PROTO_AREA",""
"PROTO_AREA","G10","PROTO_AREA",""
"PROTO_AREA","G11","PROTO_AREA",""
"43045-0612","J1","Molex_Micro-Fit_3.0_43045-0612_2x03_P3.00mm_Vertical",""
"43045-0412","J2","Molex_Micro-Fit_3.0_43045-0412_2x02_P3.00mm_Vertical",""
"43045-0212","J3","Molex_Micro-Fit_3.0_43045-0212_2x01_P3.00mm_Vertical","C293362"
"Module:uaefi/0.2","M1","uaefi",""
"178780-1","P1","178780-1_OBD1",""
"Pad","P2","PAD-TH",""
"Pad","P3","PAD-TH",""
"Pad","P4","PAD-TH",""
"Pad","P5","PAD-TH",""
"Pad","P6","PAD-TH",""
"Pad","P7","PAD-TH",""
"Pad","P8","PAD-TH",""
"Pad","P9","PAD-TH",""
"Pad","P10","PAD-TH",""
"Pad","P11","PAD-TH",""
"Pad","P12","PAD-TH",""
"Pad","P19","PAD-TH",""
"Pad","P21","PAD-TH",""
"Pad","P55","PAD-TH",""
"Pad","P56","PAD-TH",""
"Pad","P60","PAD-TH",""
"Pad","P63","PAD-TH",""
"Pad","P_C11","PAD-TH",""
"Pad","P_C12","PAD-TH",""
"Pad","P_C13","PAD-TH",""
"Pad","P_D5","PAD-TH",""
"ZXMS6005SGTA","Q1","SOT-223","C174042"
"750","R1","R0805","C17818"
"Jumper-Pad-Pad","R3","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R4","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R7","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R9","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R13","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R14","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R15","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R16","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R17","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R18","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R20","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R22","PAD-0805-PAD"," C17477"
"220","R25","R0805","C17557"
"Jumper-Pad-Pad","R43","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R45","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R46","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R46_61","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R48","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R49_51","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R51","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R54","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R57","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R58","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R61","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R62_64","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R64","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R68","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R69","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R74","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R75","PAD-0805-PAD"," C17477"
